1,7277
3,7506
7,10488
11,4923
15,7803
19,9251
23,9239
28,9961
31,8944
33,5726
38,4517
39,10350
41,9926
42,9587
45,8220
48,10129
53,8545
57,8798
61,9511
65,6292
70,8270
74,5872
76,10476
80,5238
84,4526
88,10457
90,4690
92,8501
93,6074
95,4963
99,4912
103,7256
105,8893
110,5515
112,7236
115,4410
116,5315
118,9120
120,5690
122,5233
124,8281
129,7944
133,5938
136,7374
141,6798
143,10119
148,8310
152,8499
153,9619
155,5308
158,5652
161,4710
165,9509
166,9760
167,6465
170,7678
173,6813
175,6440
176,8871
180,4844
184,9571
186,10474
190,4853
193,5550
196,8969
201,9483
205,7933
206,7523
208,5712
210,6323
214,7833
215,6972
218,8080
219,7886
221,7354
223,5753
228,8325
229,5311
231,6620
233,4740
236,5223
241,8910
244,6436
249,10466
253,6984
256,4538
259,4826
263,10068
266,5143
267,7806
272,5397
274,4753
277,7158
282,7853
285,9511
288,5627
290,8405
293,7451
296,7757
297,9185
301,6271
303,10280
306,8365
310,5060
312,4963
313,7233
315,6833
318,9620
323,5943
326,10264
328,7806
333,8872
336,7349
338,5164
340,5683
343,9871
348,8282
353,10359
356,5812
361,10326
364,9617
365,9742
367,7932
368,8939
370,9908
374,5557
378,9549
380,4901
383,10448
386,6573
389,6316
394,5673
395,6375
399,10418
404,5357
409,4768
412,6016
416,7066
420,8490
424,6898
425,7918
428,8476
430,7351
431,10057
436,8888
438,6230
439,4694
444,6040
448,5281
451,5417
454,10234
455,9680
459,9131
461,9765
464,6222
468,5758
469,4598
470,8842
472,8646
477,6319
479,4484
482,9191
487,9568
492,5001
493,10163
495,9019
497,7644
498,9985
499,7325
502,8265
507,9745
512,7781
513,7515
514,8298
517,8594
521,8455
522,7597
526,4816
529,9929
532,7925
536,6556
540,9694
542,6231
544,5519
548,8895
551,10203
552,10381
554,8292
558,10222
563,7926
567,4950
571,9908
573,4467
578,9728
583,4653
587,7474
591,7705
595,10210
598,7467
603,6825
605,6859
607,9596
612,10260
615,5839
618,7957
619,8949
621,7603
622,5941
624,7996
629,10282
631,9241
632,5027
635,7014
639,4503
642,10056
647,5240
648,5224
649,9975
651,9652
652,9717
657,9212
662,4839
666,9756
669,7389
673,4787
678,10024
682,7094
684,6293
685,7735
689,9923
692,6520
693,8221
694,9630
698,8973
702,9258
706,5488
711,10029
713,7911
717,8989
722,9743
723,9530
725,6079
730,7916
731,8770
733,9031
734,6312
736,9181
740,5953
744,4805
749,6207
754,5192
755,6609
756,5856
757,8472
758,7030
762,10444
766,10191
769,5257
770,4973
775,7927
778,4393
780,6397
783,9088
787,6836
789,9095
794,9427
799,6934
802,8264
803,9396
805,8423
809,4725
810,7180
813,8586
814,8526
818,4720
823,8517
825,6612
828,6567
833,7116
838,5350
843,4713
848,6627
852,7244
857,9775
861,7846
864,9033
867,10258
872,5618
875,5941
878,6907
880,10349
884,8569
886,5592
890,7291
891,7573
893,9637
898,6788
901,5582
902,4609
906,5535
908,4986
910,7361
913,7996
917,5364
921,10314
923,7891
927,5000
928,6069
933,7643
937,10187
942,9896
944,6979
946,9095
948,4756
951,8020
955,7881
956,8376
960,6799
963,10091
966,6513
967,7693
970,7224
972,9087
975,4989
976,8167
979,8595
983,7167
985,9632
989,7301
994,5828
995,8775
997,7664
1000,10380
1005,9992
1006,5734
1009,6388
1011,7844
1012,9894
1014,6070
1017,7131
1022,7940
1024,9600
1029,9654
1032,8685
1035,9966
1039,5315
1042,7555
1043,8965
1046,4984
1051,7888
1053,7528
1056,6184
1061,7043
1065,8633
1067,5221
1071,4758
1076,7848
1079,4531
1081,7294
1083,7791
1084,7447
1088,10226
1090,9111
1091,10254
1095,8064
1098,7454
1099,7731
1103,10136
1107,5929
1108,9066
1113,7688
1118,7072
1120,10095
1123,7521
1126,9518
1131,6713
1133,9033
1137,5858
1139,5210
1142,6673
1147,8269
1149,6816
1151,4594
1155,6072
1159,7276
1163,9836
1166,6083
1167,6102
1169,5179
1174,4912
1177,7237
1182,5796
1183,9549
1186,9077
1189,10189
1190,10090
1194,7008
1199,10285
1201,8315
1206,5772
1211,5299
1216,5593
1217,4549
1221,9490
